"country_area","year","value"
"Australia","2014","393126.946994288"
"Australia","2013","396913.93653029"
"Australia","2012","406462.8477036"
"Australia","2011","403705.528313991"
"Australia","2010","406200.993184341"
"Australia","2009","408448.47899963"
"Australia","2008","404237.828214077"
"Australia","2007","398816.453543549"
"Australia","2006","391134.100909449"
"Australia","2005","385581.132806466"
"Australia","2004","381519.261592783"
"Australia","2003","368345.977425107"
"Australia","2002","361861.387896028"
"Australia","2001","357653.329899303"
"Australia","2000","349885.433108928"
"Australia","1999","343713.906947774"
"Australia","1998","334328.142646602"
"Australia","1997","320439.116819391"
"Australia","1996","311914.819824229"
"Australia","1995","305162.543548735"
"Australia","1994","293830.709141192"
"Australia","1993","289142.267681326"
"Australia","1992","284766.092717838"
"Australia","1991","279741.639011863"
"Australia","1990","278265.898940768"
"Austria","2014","64262.5639931315"
"Austria","2013","67957.1211123863"
"Austria","2012","67698.6586349119"
"Austria","2011","70327.1670444138"
"Austria","2010","72531.826129136"
"Austria","2009","67682.7251493548"
"Austria","2008","74066.2557920763"
"Austria","2007","74268.1107226333"
"Austria","2006","76934.9515340371"
"Austria","2005","79588.5018807541"
"Austria","2004","78388.9974250799"
"Austria","2003","78023.9538963192"
"Austria","2002","72126.5914446168"
"Austria","2001","70299.4711482287"
"Austria","2000","66274.7432545115"
"Austria","1999","65660.1336422327"
"Austria","1998","67047.2506680177"
"Austria","1997","67455.8927304212"
"Austria","1996","67667.2626980903"
"Austria","1995","64202.1592201769"
"Austria","1994","61189.1025048542"
"Austria","1993","60790.7577213156"
"Austria","1992","60432.2493410185"
"Austria","1991","65903.513308256"
"Austria","1990","62297.1655681668"
"Belarus","2014","60615.645730992"
"Belarus","2013","61510.987153813"
"Belarus","2012","60636.851387067"
"Belarus","2011","61128.400592577"
"Belarus","2010","61632.492704327"
"Belarus","2009","59596.205375555"
"Belarus","2008","63846.103794367"
"Belarus","2007","61563.881729088"
"Belarus","2006","62229.398882869"
"Belarus","2005","59664.73908178"
"Belarus","2004","58457.64761596"
"Belarus","2003","54845.145835185"
"Belarus","2002","53843.704423847"
"Belarus","2001","53783.847673632"
"Belarus","2000","53686.857490672"
"Belarus","1999","55033.952116896"
"Belarus","1998","57426.329584039"
"Belarus","1997","60971.816305307"
"Belarus","1996","57251.355700374"
"Belarus","1995","56005.93938238"
"Belarus","1994","62402.279082903"
"Belarus","1993","75551.755291625"
"Belarus","1992","87060.81028961"
"Belarus","1991","93649.166141388"
"Belarus","1990","100438.095063708"
"Belgium","2014","96325.4131833302"
"Belgium","2013","101744.736736883"
"Belgium","2012","100931.595609756"
"Belgium","2011","104945.713770963"
"Belgium","2010","114155.386728776"
"Belgium","2009","107282.543508312"
"Belgium","2008","120362.609842562"
"Belgium","2007","118027.408646158"
"Belgium","2006","122319.593759433"
"Belgium","2005","125118.016504076"
"Belgium","2004","128640.48346799"
"Belgium","2003","127523.989700176"
"Belgium","2002","126015.194675856"
"Belgium","2001","125649.370538717"
"Belgium","2000","126315.209948975"
"Belgium","1999","124208.071769964"
"Belgium","1998","129737.090031462"
"Belgium","1997","123495.742758683"
"Belgium","1996","129010.471708927"
"Belgium","1995","125519.441990638"
"Belgium","1994","124426.885709848"
"Belgium","1993","121156.964954729"
"Belgium","1992","122217.919518023"
"Belgium","1991","123130.652897225"
"Belgium","1990","119982.503418506"
"Bulgaria","2014","45139.955286201"
"Bulgaria","2013","42534.9272034699"
"Bulgaria","2012","48117.5560830313"
"Bulgaria","2011","53020.9811161954"
"Bulgaria","2010","47678.6489573594"
"Bulgaria","2009","45487.8735503956"
"Bulgaria","2008","53655.1401671903"
"Bulgaria","2007","55184.4241047849"
"Bulgaria","2006","51446.2829381283"
"Bulgaria","2005","50191.1160644292"
"Bulgaria","2004","49170.3376894348"
"Bulgaria","2003","49971.1515762142"
"Bulgaria","2002","45786.2947197982"
"Bulgaria","2001","48568.9178318705"
"Bulgaria","2000","44896.670545605"
"Bulgaria","1999","45751.789097251"
"Bulgaria","1998","52143.3567693638"
"Bulgaria","1997","54790.1341566389"
"Bulgaria","1996","57581.194759982"
"Bulgaria","1995","57221.6062924032"
"Bulgaria","1994","55649.0813153431"
"Bulgaria","1993","57203.9355176784"
"Bulgaria","1992","56551.5935722778"
"Bulgaria","1991","59769.3415026104"
"Bulgaria","1990","78197.8812570199"
"Canada","2014","574099.775511611"
"Canada","2013","573094.038846396"
"Canada","2012","563423.613154917"
"Canada","2011","558152.72293811"
"Canada","2010","555003.760260925"
"Canada","2009","542829.458896225"
"Canada","2008","577444.930222255"
"Canada","2007","596041.321973836"
"Canada","2006","573479.269701141"
"Canada","2005","579225.335719904"
"Canada","2004","585414.860574334"
"Canada","2003","587306.678537712"
"Canada","2002","569862.145645112"
"Canada","2001","564617.020300164"
"Canada","2000","572290.385518472"
"Canada","1999","550183.063388038"
"Canada","1998","533794.453645326"
"Canada","1997","525120.011175522"
"Canada","1996","510619.682210148"
"Canada","1995","497224.83692526"
"Canada","1994","482691.671271798"
"Canada","1993","467607.237235461"
"Canada","1992","468546.458912059"
"Canada","1991","454246.137946001"
"Canada","1990","463493.332387577"
